id;profession;createdAt;updatedAt
243;аппаратчик перколяции;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
244;аппаратчик печей восстановления;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
245;аппаратчик пиролиза;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
246;аппаратчик плавления;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
247;аппаратчик плюсования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
248;аппаратчик по выработке уксуса;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
249;аппаратчик по выращиванию монокристаллов и лент;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
250;аппаратчик по выщелачиванию фибры;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
251;аппаратчик по загрузке пека;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
252;аппаратчик по изготовлению клеевой нити;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
253;аппаратчик по изготовлению шлифовальной шкурки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
254;аппаратчик по изготовлению эмульсионной матрицы;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
255;аппаратчик по кристаллизации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
256;аппаратчик по насасыванию диафрагм;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
257;аппаратчик по обработке и купажированию уксуса;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
258;аппаратчик по обработке сырого пектина;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
259;аппаратчик по обслуживанию рекуператоров и системы охлаждения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
260;аппаратчик по окислению кадмия;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
261;аппаратчик по получению высокочистых материалов для полупроводникового производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
262;аппаратчик по приготовлению глинозема;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
263;аппаратчик по приготовлению майонеза;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
264;аппаратчик по приготовлению химреагентов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
265;аппаратчик по производству и химической очистке полупроводниковых материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
266;аппаратчик по производству синтетических клеящих смол;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
267;аппаратчик по производству сухой спичечной соломки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
268;аппаратчик по разделению благородных и редкоземельных элементов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
269;аппаратчик по разделению редкоземельных элементов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
270;аппаратчик по регенерации селена;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
